12:26:57,-6.054,-10.081,0.924;-0.420;0.181
12:26:58,-5.380,-10.313,0.930;-0.415;0.160
12:26:59,-5.926,-10.781,0.933;-0.423;0.161
12:27:00,-4.675,-10.639,0.929;-0.421;0.160
12:27:01,-5.569,-10.550,0.927;-0.407;0.157
12:27:02,-5.714,-10.425,0.929;-0.422;0.163
12:27:03,-6.704,-10.505,0.935;-0.418;0.160
12:27:04,-5.751,-10.594,0.935;-0.415;0.157
12:27:05,-4.817,-11.143,0.929;-0.414;0.168
12:27:06,-5.476,-10.520,0.933;-0.419;0.164
12:27:07,-5.641,-10.813,0.926;-0.420;0.163
12:27:08,-5.823,-10.660,0.932;-0.425;0.159
12:27:09,-5.697,-10.310,0.930;-0.415;0.159
12:27:10,-5.450,-10.325,0.933;-0.417;0.171
12:27:11,-5.648,-10.352,0.929;-0.414;0.159
12:27:12,-5.455,-10.764,0.931;-0.421;0.167
12:27:13,-4.485,-11.234,0.933;-0.416;0.160
12:27:14,-5.870,-10.765,0.929;-0.419;0.167
